pokedex_number,name,generation,classification,abilities,height_m,weight_kg,type1,type2,base_total,hp,attack,defense,sp_attack,sp_defense,speed,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fighting,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,capture_rate,base_egg_steps,base_happiness,is_legendary,is_mythical,is_mega
176,Togetic,2,Happiness Pokemon,"['Hustle', 'Serene Grace', 'Super Luck']",0.6,3.2,Fairy,Flying,405,55,40,85,80,105,40,0.25,0.5,0,2,1,0.25,1,1,1,0.5,0,2,1,2,1,2,2,1,75,"2,570",70,0,0,0
177,Natu,2,Tiny Bird Pokemon,"['Synchronize', 'Early Bird', 'Magic Bounce']",0.2,2,Psychic,Flying,320,40,50,45,70,45,70,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,190,"5,140",70,0,0,0
178,Xatu,2,Mystic Pokemon,"['Synchronize', 'Early Bird', 'Magic Bounce']",1.5,15,Psychic,Flying,470,65,75,70,95,70,95,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,75,"5,140",70,0,0,0
179,Mareep,2,Wool Pokemon,"['Static', 'Plus']",0.6,7.8,Electric,None,280,55,40,40,65,45,35,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,235,"5,140",70,0,0,0
180,Flaaffy,2,Wool Pokemon,"['Static', 'Plus']",0.8,13.3,Electric,None,365,70,55,55,80,60,45,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,120,"5,140",70,0,0,0
181,Ampharos,2,Light Pokemon,"['Static', 'Plus']",1.4,61.5,Electric,None,510,90,75,85,115,90,55,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,45,"5,140",70,0,0,0
181,Mega Ampharos,2,Light Pokemon,['Mold Breaker'],1.4,61.5,Electric,Dragon,610,90,95,105,165,110,45,1,1,2,0.25,2,1,0.5,0.5,1,0.5,2,2,1,1,1,1,0.5,0.5,45,"5,140",70,0,0,1
182,Bellossom,2,Flower Pokemon,"['Chlorophyll', 'Healer']",0.4,5.8,Grass,None,490,75,80,95,90,100,50,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,45,"5,140",70,0,0,0
183,Marill,2,Aqua Mouse Pokemon,"['Thick Fat', 'Huge Power', 'Sap Sipper']",0.4,8.5,Water,Fairy,250,70,20,50,20,50,40,0.5,0.5,0,2,1,0.5,0.25,1,1,2,1,0.25,1,2,1,1,1,0.5,190,"2,570",70,0,0,0
184,Azumarill,2,Aqua Rabbit Pokemon,"['Thick Fat', 'Huge Power', 'Sap Sipper']",0.8,28.5,Water,Fairy,420,100,50,80,60,80,50,0.5,0.5,0,2,1,0.5,0.25,1,1,2,1,0.25,1,2,1,1,1,0.5,75,"2,570",70,0,0,0
185,Sudowoodo,2,Imitation Pokemon,"['Sturdy', 'Rock Head', 'Rattled']",1.2,38,Rock,None,410,70,100,115,30,65,30,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,65,"5,140",70,0,0,0
186,Politoed,2,Frog Pokemon,"['Water Absorb', 'Damp', 'Drizzle']",1.1,33.9,Water,None,500,90,75,75,90,100,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0,45,"5,140",70,0,0,0
187,Hoppip,2,Cottonweed Pokemon,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",0.4,0.5,Grass,Flying,250,35,35,40,35,55,50,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,255,"5,140",70,0,0,0
188,Skiploom,2,Cottonweed Pokemon,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",0.6,1,Grass,Flying,340,55,45,50,45,65,80,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,120,"5,140",70,0,0,0
189,Jumpluff,2,Cottonweed Pokemon,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",0.8,3,Grass,Flying,460,75,55,70,55,95,110,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,45,"5,140",70,0,0,0
190,Aipom,2,Long Tail Pokemon,"['Run Away', 'Pickup', 'Skill Link']",0.8,11.5,Normal,None,360,55,70,55,40,55,85,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,45,"5,140",70,0,0,0
191,Sunkern,2,Seed Pokemon,"['Chlorophyll', 'Solar Power', 'Early Bird']",0.3,1.8,Grass,None,180,30,30,30,30,30,30,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,235,"5,140",70,0,0,0
192,Sunflora,2,Sun Pokemon,"['Chlorophyll', 'Solar Power', 'Early Bird']",0.8,8.5,Grass,None,425,75,75,55,105,85,30,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,120,"5,140",70,0,0,0
193,Yanma,2,Clear Wing Pokemon,"['Speed Boost', 'Compound Eyes', 'Frisk']",1.2,38,Bug,Flying,390,65,65,45,75,45,95,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,75,"5,140",70,0,0,0
194,Wooper,2,Water Fish Pokemon,"['Damp', 'Water Absorb', 'Unaware']",0.4,8.5,Water,Ground,210,55,45,45,25,25,15,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,255,"5,140",70,0,0,0
195,Quagsire,2,Water Fish Pokemon,"['Damp', 'Water Absorb', 'Unaware']",1.4,75,Water,Ground,430,95,85,85,65,65,35,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,90,"5,140",70,0,0,0
196,Espeon,2,Sun Pokemon,"['Synchronize', 'Magic Bounce']",0.9,26.5,Psychic,None,525,65,65,60,130,95,110,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,45,"8,995",70,0,0,0
197,Umbreon,2,Moonlight Pokemon,"['Synchronize', 'Inner Focus']",1,27,Dark,None,525,95,65,110,60,130,65,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,45,"8,995",35,0,0,0
198,Murkrow,2,Darkness Pokemon,"['Insomnia', 'Super Luck', 'Prankster']",0.5,2.1,Dark,Flying,405,60,85,42,85,42,91,1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1,30,"5,140",35,0,0,0
199,Slowking,2,Royal Pokemon,"['Oblivious', 'Own Tempo', 'Regenerator']",2,79.5,Water,Psychic,490,95,75,80,100,110,30,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,70,"5,140",70,0,0,0
200,Misdreavus,2,Screech Pokemon,['Levitate'],0.7,1,Ghost,None,435,60,60,60,85,85,85,0.5,2,1,1,1,0,1,1,2,1,0,1,0,0.5,1,1,1,1,45,"6,425",35,0,0,0
201,Unown,2,Symbol Pokemon,['Levitate'],0.5,5,Psychic,None,336,48,72,48,72,48,48,2,2,1,1,1,0.5,1,1,2,1,0,1,1,1,0.5,1,1,1,225,"10,280",70,0,0,0
202,Wobbuffet,2,Patient Pokemon,"['Shadow Tag', 'Telepathy']",1.3,28.5,Psychic,None,405,190,33,58,33,58,33,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,45,"5,140",70,0,0,0
203,Girafarig,2,Long Neck Pokemon,"['Inner Focus', 'Early Bird', 'Sap Sipper']",1.5,41.5,Normal,Psychic,455,70,80,65,90,65,85,2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,60,"5,140",70,0,0,0
204,Pineco,2,Bagworm Pokemon,"['Sturdy', 'Overcoat']",0.6,7.2,Bug,None,290,50,65,90,35,35,15,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,190,"5,140",70,0,0,0
205,Forretress,2,Bagworm Pokemon,"['Sturdy', 'Overcoat']",1.2,125.8,Bug,Steel,465,75,90,140,60,60,40,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,75,"5,140",70,0,0,0
206,Dunsparce,2,Land Snake Pokemon,"['Serene Grace', 'Run Away', 'Rattled']",1.5,14,Normal,None,415,100,70,70,65,65,45,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,190,"5,140",70,0,0,0
207,Gligar,2,FlyScorpion Pokemon,"['Hyper Cutter', 'Sand Veil', 'Immunity']",1.1,64.8,Ground,Flying,430,65,75,105,35,65,85,0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2,60,"5,140",70,0,0,0
208,Steelix,2,Iron Snake Pokemon,"['Rock Head', 'Sturdy', 'Sheer Force']",9.2,400,Steel,Ground,510,75,85,200,55,65,30,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,25,"6,425",70,0,0,0
208,Mega Steelix,2,Iron Snake Pokemon,['Sand Force'],10.5,740,Steel,Ground,610,75,125,230,55,95,30,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,25,"6,425",70,0,0,1
209,Snubbull,2,Fairy Pokemon,"['Intimidate', 'Run Away', 'Rattled']",0.6,7.8,Fairy,None,300,60,80,50,40,40,30,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,190,"5,140",70,0,0,0
210,Granbull,2,Fairy Pokemon,"['Intimidate', 'Quick Feet', 'Rattled']",1.4,48.7,Fairy,None,450,90,120,75,60,60,45,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,75,"5,140",70,0,0,0
211,Qwilfish,2,Balloon Pokemon,"['Poison Point', 'Swift Swim', 'Intimidate']",0.5,3.9,Water,Poison,440,65,95,85,55,55,85,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,45,"5,140",70,0,0,0
212,Scizor,2,Pincer Pokemon,"['Swarm', 'Technician', 'Light Metal']",1.8,118,Bug,Steel,500,70,130,100,55,80,65,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,25,"6,425",70,0,0,0
212,Mega Scizor,2,Pincer Pokemon,['Technician'],2,125,Bug,Steel,600,70,150,140,65,100,75,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,25,"6,425",70,0,0,1
213,Shuckle,2,Mold Pokemon,"['Sturdy', 'Gluttony', 'Contrary']",0.6,20.5,Bug,Rock,505,20,10,230,10,230,5,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,190,"5,140",70,0,0,0
214,Heracross,2,Single Horn Pokemon,"['Swarm', 'Guts', 'Moxie']",1.5,54,Bug,Fighting,500,80,125,75,40,95,85,0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1,45,"6,425",70,0,0,0
214,Mega Heracross,2,Single Horn Pokemon,['Skill Link'],1.7,62.5,Bug,Fighting,600,80,185,115,40,105,75,0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1,45,"6,425",70,0,0,1
215,Sneasel,2,Sharp Claw Pokemon,"['Inner Focus', 'Keen Eye', 'Pickpocket']",0.9,28,Dark,Ice,430,55,95,55,35,75,115,2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1,60,"5,140",35,0,0,0
216,Teddiursa,2,Little Bear Pokemon,"['Pickup', 'Quick Feet', 'Honey Gather']",0.6,8.8,Normal,None,330,60,80,50,50,50,40,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,120,"5,140",70,0,0,0
217,Ursaring,2,Hibernator Pokemon,"['Guts', 'Quick Feet', 'Unnerve']",1.8,125.8,Normal,None,500,90,130,75,75,75,55,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,"5,140",70,0,0,0
218,Slugma,2,Lava Pokemon,"['Magma Armor', 'Flame Body', 'Weak Armor']",0.7,35,Fire,None,250,40,40,40,70,40,20,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,190,"5,140",70,0,0,0
219,Magcargo,2,Lava Pokemon,"['Magma Armor', 'Flame Body', 'Weak Armor']",0.8,55,Fire,Rock,430,60,50,120,90,80,30,0.5,1,1,1,0.5,2,0.25,0.5,1,1,4,0.5,0.5,0.5,1,2,1,4,75,"5,140",70,0,0,0
220,Swinub,2,Pig Pokemon,"['Oblivious', 'Snow Cloak', 'Thick Fat']",0.4,6.5,Ice,Ground,250,50,50,40,30,30,50,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,225,"5,140",70,0,0,0
221,Piloswine,2,Swine Pokemon,"['Oblivious', 'Snow Cloak', 'Thick Fat']",1.1,55.8,Ice,Ground,450,100,100,80,60,60,50,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,75,"5,140",70,0,0,0
222,Corsola,2,Coral Pokemon,"['Hustle', 'Natural Cure', 'Regenerator']",0.6,5,Water,Rock,410,65,55,95,65,95,35,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,60,"5,140",70,0,0,0
222,Galarian Corsola,2,Coral Pokemon,"['Weak Armor', 'Cursed Body']",0.6,0.5,Ghost,None,410,60,55,100,65,100,30,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,60,"5,140",70,0,0,0
223,Remoraid,2,Jet Pokemon,"['Hustle', 'Sniper', 'Moody']",0.6,12,Water,None,300,35,65,35,65,35,65,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,190,"5,140",70,0,0,0
224,Octillery,2,Jet Pokemon,"['Suction Cups', 'Sniper', 'Moody']",0.9,28.5,Water,None,480,75,105,75,105,75,45,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,75,"5,140",70,0,0,0
225,Delibird,2,Delivery Pokemon,"['Vital Spirit', 'Hustle', 'Insomnia']",0.9,16,Ice,Flying,330,45,55,45,65,45,75,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,45,"5,140",70,0,0,0
226,Mantine,2,Kite Pokemon,"['Swift Swim', 'Water Absorb', 'Water Veil']",2.1,220,Water,Flying,485,85,40,70,80,140,70,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,25,"6,425",70,0,0,0
227,Skarmory,2,Armor Bird Pokemon,"['Keen Eye', 'Sturdy', 'Weak Armor']",1.7,50.5,Steel,Flying,465,65,80,140,40,70,70,0.25,1,0.5,2,0.5,1,2,0.5,1,0.25,0,1,0.5,0,0.5,1,0.5,1,25,"6,425",70,0,0,0
228,Houndour,2,Dark Pokemon,"['Early Bird', 'Flash Fire', 'Unnerve']",0.6,10.8,Dark,Fire,330,45,60,30,80,50,65,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,120,"5,140",35,0,0,0
229,Houndoom,2,Dark Pokemon,"['Early Bird', 'Flash Fire', 'Unnerve']",1.4,35,Dark,Fire,500,75,90,50,110,80,95,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,45,"5,140",35,0,0,0
229,Mega Houndoom,2,Dark Pokemon,['Solar Power'],1.9,49.5,Dark,Fire,600,75,90,90,140,90,115,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,45,"5,140",35,0,0,1
230,Kingdra,2,Dragon Pokemon,"['Swift Swim', 'Sniper', 'Damp']",1.8,152,Water,Dragon,540,75,95,95,95,95,85,1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25,45,"5,140",70,0,0,0
231,Phanpy,2,Long Nose Pokemon,"['Pickup', 'Sand Veil']",0.5,33.5,Ground,None,330,90,60,60,40,40,40,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,120,"5,140",70,0,0,0
232,Donphan,2,Armor Pokemon,"['Sturdy', 'Sand Veil']",1.1,120,Ground,None,500,90,120,120,60,60,50,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,60,"5,140",70,0,0,0
233,Porygon2,2,Virtual Pokemon,"['Trace', 'Download', 'Analytic']",0.6,32.5,Normal,None,515,85,80,90,105,95,60,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,45,"5,140",70,0,0,0
234,Stantler,2,Big Horn Pokemon,"['Intimidate', 'Frisk', 'Sap Sipper']",1.4,71.2,Normal,None,465,73,95,62,85,65,85,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,45,"5,140",70,0,0,0
235,Smeargle,2,Painter Pokemon,"['Own Tempo', 'Technician', 'Moody']",1.2,58,Normal,None,250,55,20,35,20,45,75,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,45,"5,140",70,0,0,0
236,Tyrogue,2,Scuffle Pokemon,"['Guts', 'Steadfast', 'Vital Spirit']",0.7,21,Fighting,None,210,35,35,35,35,35,35,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,75,"6,425",70,0,0,0
237,Hitmontop,2,Handstand Pokemon,"['Intimidate', 'Technician', 'Steadfast']",1.4,48,Fighting,None,455,50,95,95,35,110,70,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,45,"6,425",70,0,0,0
238,Smoochum,2,Kiss Pokemon,"['Oblivious', 'Forewarn', 'Hydration']",0.4,6,Ice,Psychic,305,45,30,15,85,65,65,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,45,"6,425",70,0,0,0
239,Elekid,2,Electric Pokemon,"['Static', 'Vital Spirit']",0.6,23.5,Electric,None,360,45,63,37,65,55,95,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,45,"6,425",70,0,0,0
240,Magby,2,Live Coal Pokemon,"['Flame Body', 'Vital Spirit']",0.7,21.4,Fire,None,365,45,75,37,70,55,83,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,45,"6,425",70,0,0,0
241,Miltank,2,Milk Cow Pokemon,"['Thick Fat', 'Scrappy', 'Sap Sipper']",1.2,75.5,Normal,None,490,95,80,105,40,70,100,1,1,1,1,1,2,0.5,1,0,1,1,0.5,1,1,1,1,1,1,45,"5,140",70,0,0,0
242,Blissey,2,Happiness Pokemon,"['Natural Cure', 'Serene Grace', 'Healer']",1.5,46.8,Normal,None,540,255,10,10,75,135,55,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,30,"10,280",140,0,0,0
243,Raikou,2,Thunder Pokemon,"['Pressure', 'Inner Focus']",1.9,178,Electric,None,580,90,85,75,115,100,115,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,3,"20,560",35,1,0,0
244,Entei,2,Volcano Pokemon,"['Pressure', 'Inner Focus']",2.1,198,Fire,None,580,115,115,85,90,75,100,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,3,"20,560",35,1,0,0
245,Suicune,2,Aurora Pokemon,"['Pressure', 'Inner Focus']",2,187,Water,None,580,100,75,115,90,115,85,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,3,"20,560",35,1,0,0
246,Larvitar,2,Rock Skin Pokemon,"['Guts', 'Sand Veil']",0.6,72,Rock,Ground,300,50,64,50,45,50,41,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,45,"10,280",35,0,0,0
247,Pupitar,2,Hard Shell Pokemon,['Shed Skin'],1.2,152,Rock,Ground,410,70,84,70,65,70,51,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,45,"10,280",35,0,0,0
248,Tyranitar,2,Armor Pokemon,"['Sand Stream', 'Unnerve']",2,202,Rock,Dark,600,100,134,110,95,100,61,2,0.5,1,1,2,4,0.5,0.5,0.5,2,2,1,0.5,0.5,0,1,2,2,45,"10,280",35,0,0,0
248,Mega Tyranitar,2,Armor Pokemon,['Sand Stream'],2.5,255,Rock,Dark,700,100,164,150,95,120,71,2,0.5,1,1,2,4,0.5,0.5,0.5,2,2,1,0.5,0.5,0,1,2,2,45,"10,280",35,0,0,1
249,Lugia,2,Diving Pokemon,"['Pressure', 'Multiscale']",5.2,216,Psychic,Flying,680,106,90,130,90,154,110,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,3,"30,840",0,1,0,0
250,Ho-oh,2,Rainbow Pokemon,"['Pressure', 'Regenerator']",3.8,199,Fire,Flying,680,106,130,90,110,154,90,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,3,"30,840",0,1,0,0
251,Celebi,2,Time Travel Pokemon,['Natural Cure'],0.6,5,Psychic,Grass,600,100,100,100,100,100,100,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,45,"30,840",100,0,1,0
252,Treecko,3,Wood Gecko Pokemon,"['Overgrow', 'Unburden']",0.5,5,Grass,None,310,40,45,35,65,55,70,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,45,"5,140",70,0,0,0
253,Grovyle,3,Wood Gecko Pokemon,"['Overgrow', 'Unburden']",0.9,21.6,Grass,None,405,50,65,45,85,65,95,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,45,"5,140",70,0,0,0
254,Sceptile,3,Forest Pokemon,"['Overgrow', 'Unburden']",1.7,52.2,Grass,None,530,70,85,65,105,85,120,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,45,"5,140",70,0,0,0
254,Mega Sceptile,3,Forest Pokemon,['Lightning Rod'],1.9,55.2,Grass,Dragon,630,70,110,75,145,85,145,2,1,2,0,2,1,1,2,1,0.25,0.5,4,1,2,1,1,1,0.25,45,"5,140",70,0,0,1
255,Torchic,3,Chick Pokemon,"['Blaze', 'Speed Boost']",0.4,2.5,Fire,None,310,45,60,40,70,50,45,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,45,"5,140",70,0,0,0
256,Combusken,3,Young Fowl Pokemon,"['Blaze', 'Speed Boost']",0.9,19.5,Fire,Fighting,405,60,85,60,85,60,55,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,45,"5,140",70,0,0,0
257,Blaziken,3,Blaze Pokemon,"['Blaze', 'Speed Boost']",1.9,52,Fire,Fighting,530,80,120,70,110,70,80,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,45,"5,140",70,0,0,0
257,Mega Blaziken,3,Blaze Pokemon,['Speed Boost'],1.9,52,Fire,Fighting,630,80,160,80,130,80,100,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,45,"5,140",70,0,0,1
258,Mudkip,3,Mud Fish Pokemon,"['Torrent', 'Damp']",0.4,7.6,Water,None,310,50,70,50,50,50,40,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,"5,140",70,0,0,0
259,Marshtomp,3,Mud Fish Pokemon,"['Torrent', 'Damp']",0.7,28,Water,Ground,405,70,85,70,60,70,50,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,45,"5,140",70,0,0,0
260,Swampert,3,Mud Fish Pokemon,"['Torrent', 'Damp']",1.5,81.9,Water,Ground,535,100,110,90,85,90,60,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,45,"5,140",70,0,0,0
260,Mega Swampert,3,Mud Fish Pokemon,['Swift Swim'],1.9,102,Water,Ground,635,100,150,110,95,110,70,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,45,"5,140",70,0,0,1
261,Poochyena,3,Bite Pokemon,"['Run Away', 'Quick Feet', 'Rattled']",0.5,13.6,Dark,None,220,35,55,35,30,30,35,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,255,"3,855",70,0,0,0
262,Mightyena,3,Bite Pokemon,"['Intimidate', 'Quick Feet', 'Moxie']",1,37,Dark,None,420,70,90,70,60,60,70,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,127,"3,855",70,0,0,0
263,Zigzagoon,3,TinyRaccoon Pokemon,"['Pickup', 'Gluttony', 'Quick Feet']",0.4,17.5,Normal,None,240,38,30,41,30,41,60,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,255,"3,855",70,0,0,0
263,Galarian Zigzagoon,3,Tiny Raccoon Pokemon,"['Pickup', 'Gluttony', 'Quick Feet']",0.4,17.5,Dark,Normal,240,38,30,41,30,41,60,2,0.5,1,1,2,4,1,1,0,1,1,1,1,1,0,1,1,1,255,"3,855",70,0,0,0
264,Linoone,3,Rushing Pokemon,"['Pickup', 'Gluttony', 'Quick Feet']",0.5,32.5,Normal,None,420,78,70,61,50,61,100,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,90,"3,855",70,0,0,0
264,Galarian Linoone,3,Rushing Pokemon,"['Pickup', 'Gluttony', 'Quick Feet']",0.5,32.5,Dark,Normal,420,78,70,61,50,61,100,2,0.5,1,1,2,4,1,1,0,1,1,1,1,1,0,1,1,1,90,"3,855",70,0,0,0
265,Wurmple,3,Worm Pokemon,"['Shield Dust', 'Run Away']",0.3,3.6,Bug,None,195,45,45,35,20,30,20,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,255,"3,855",70,0,0,0
266,Silcoon,3,Cocoon Pokemon,['Shed Skin'],0.6,10,Bug,None,205,50,35,55,25,25,15,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,120,"3,855",70,0,0,0
267,Beautifly,3,Butterfly Pokemon,"['Swarm', 'Rivalry']",1,28.4,Bug,Flying,395,60,70,50,100,50,65,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,45,"3,855",70,0,0,0
268,Cascoon,3,Cocoon Pokemon,['Shed Skin'],0.7,11.5,Bug,None,205,50,35,55,25,25,15,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,120,"3,855",70,0,0,0
269,Dustox,3,Poison Moth Pokemon,"['Shield Dust', 'Compound Eyes']",1.2,31.6,Bug,Poison,385,60,50,70,50,90,65,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,45,"3,855",70,0,0,0
270,Lotad,3,Water Weed Pokemon,"['Swift Swim', 'Rain Dish', 'Own Tempo']",0.5,2.6,Water,Grass,220,40,30,30,40,50,30,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,255,"3,855",70,0,0,0
271,Lombre,3,Jolly Pokemon,"['Swift Swim', 'Rain Dish', 'Own Tempo']",1.2,32.5,Water,Grass,340,60,50,50,60,70,50,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,120,"3,855",70,0,0,0
